ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-8614.139,1826.8146,4685.33,-511.45013,-187.4827,-342.84427,-9451.963,3906.6824,10446.856,-85.49203,-322.96048,-182.72221
-8623.022,1755.3513,4714.8125,-549.4164,-104.978935,-318.101,-9523.007,3924.756,10434.459,-121.91353,-301.77795,-164.24345
-8609.749,1729.773,4782.833,-579.18317,-212.16418,-297.42184,-9486.663,3863.4207,10577.395,-120.74059,-407.0417,-175.89803
-8529.066,1687.0067,4782.081,-487.79224,-174.48741,-320.69183,-9466.897,3893.1855,10617.828,-127.35841,-370.39478,-186.23772
-8564.597,1679.5852,4871.4233,-412.9926,-166.08406,-303.7378,-9423.55,3902.7302,10468.317,-169.54529,-302.7149,-208.99495
-8589.023,1736.9431,4819.032,-391.85626,-140.82808,-267.26794,-9436.11,3972.5452,10518.503,-145.55223,-330.34555,-209.97446
-8572.936,1721.2239,4807.7837,-281.7989,-215.27315,-273.0114,-9486.73,3803.8196,10598.875,-116.69876,-372.13007,-240.3359
-8451.986,1780.9597,4794.4844,-305.0983,-208.15048,-258.3713,-9407.034,3912.8765,10607.872,-84.06639,-384.4774,-245.93938
-8567.545,1677.0583,4799.233,-336.74768,-185.92094,-238.79152,-9356.186,3904.8955,10555.569,-73.19294,-256.31326,-275.25323
-8503.151,1790.6399,4964.8003,-498.36932,-9.965776,-251.16838,-9436.62,3947.8804,10647.397,-52.663837,-269.93967,-276.61154
-8585.036,1691.4731,4718.037,-347.09808,-38.55391,-278.28387,-9334.314,3856.004,10581.024,-36.074326,-297.29028,-320.5008
-8568.043,1737.3451,4743.701,-392.04153,-32.828693,-233.47859,-9464.018,3876.2505,10776.319,-1.2143996,-302.05368,-356.52902
-8605.493,1717.5457,4948.109,-561.58575,-160.3275,-287.93307,-9457.725,3926.9834,10764.109,47.98658,-264.22763,-354.55426
-8530.019,1871.868,4867.075,-661.487,-152.26064,-293.00897,-9309.448,4065.0847,10694.521,94.63452,-25.034399,-395.4361
-8414.956,2010.5588,4939.5557,-371.3333,11.688674,-28.923082,-9143.597,4176.7256,10459.612,124.54651,610.24554,-392.6879
-8505.096,1889.6094,4739.769,23.346596,841.7947,220.2467,-9378.775,3966.6917,10728.9,89.27089,1222.5447,-383.20123
-8786.436,1878.952,5043.5923,411.77957,1037.0604,42.660145,-9509.09,3989.6846,10885.83,60.131542,1254.6648,-270.521
-9107.293,1386.137,5972.669,720.3033,921.2323,145.46469,-9994.456,3582.4133,10852.069,199.5406,1005.56775,-176.07677
